Warning 2026-08-19 09:46:10:501  DevID:  Source-Line:libMvCameraControl.so(GenTLLoadLibraryEx.cpp-L0350)  ProcessName:python3.12(16066)     Description:[LoadCtiLibInter]MV_GCSetConfigIntValue is NULL, CTI path[/opt/MVS/lib/64/libMvProducerVIR.so]
Info    2026-08-19 09:46:10:506  DevID:  Source-Line:libMvCameraControl.so(GigELoadLibrary.cpp-L1607)  ProcessName:python3.12(16066)     Description:[LoadGigEAllFunctions]Load MVGigEVisionSDK success
Warning 2026-08-19 09:46:10:528  DevID:Virtual GigE Vision  Source-Line:libMvCameraControl.so(GenTLManager.cpp-L1360)  ProcessName:python3.12(16066)     Description:[OpenInterfaceInter]Get cti version failed, nRet[0x8000000c]
Info    2026-08-19 09:46:10:528  DevID:Virtual GigE Vision  Source-Line:libMvCameraControl.so(GenTLManager.cpp-L1362)  ProcessName:python3.12(16066)     Description:[OpenInterfaceInter]Interface open success! VIRGEVCtiVersion[], VIRGEVDrvVersion[]
Warning 2026-08-19 09:46:10:528  DevID:Virtual USB3 Vision  Source-Line:libMvCameraControl.so(GenTLManager.cpp-L1360)  ProcessName:python3.12(16066)     Description:[OpenInterfaceInter]Get cti version failed, nRet[0x8000000c]
Info    2026-08-19 09:46:10:528  DevID:Virtual USB3 Vision  Source-Line:libMvCameraControl.so(GenTLManager.cpp-L1362)  ProcessName:python3.12(16066)     Description:[OpenInterfaceInter]Interface open success! VIRU3VCtiVersion[], VIRU3VDrvVersion[]
Info    2026-08-19 09:46:10:666  DevID:MV-CU060-10GC(DA1691703)  Source-Line:libMvCameraControl.so(GigEDevice.cpp-L0263)  ProcessName:python3.12(16066)     Description:[Init]GEV INFO DeviceIP[192.168.1.20], NetIP[192.168.1.21], ManufacturerInfo[Hikrobot], DeviceVersion[V4.0.1 220113 751901], UserID[]
Info    2026-08-19 09:46:10:666  DevID:MV-CU060-10GC(DA1691703)  Source-Line:libMvCameraControl.so(MediaProcess.cpp-L0884)  ProcessName:python3.12(16066)     Description:[SetBayerCvtQuality]Set Bayer CvtQuality success! BayerCvtQuality[1]
Info    2026-08-19 09:46:10:666  DevID:MV-CU060-10GC(DA1691703)  Source-Line:libMvCameraControl.so(MediaProcess.cpp-L1732)  ProcessName:python3.12(16066)     Description:[SetBayerThreadNum]Set Bayer Thread Num success! BayerThreadNum[4]
Info    2026-08-19 09:46:10:666  DevID:MV-CU060-10GC(DA1691703)  Source-Line:libMvCameraControl.so(MediaProcess.cpp-L0884)  ProcessName:python3.12(16066)     Description:[SetBayerCvtQuality]Set Bayer CvtQuality success! BayerCvtQuality[1]
Info    2026-08-19 09:46:10:667  DevID:MV-CU060-10GC(DA1691703)  Source-Line:libMvCameraControl.so(MediaProcess.cpp-L1732)  ProcessName:python3.12(16066)     Description:[SetBayerThreadNum]Set Bayer Thread Num success! BayerThreadNum[4]
